ROC AUC scores,Cohort 1,Cohort 2,Cohort 3,Cohort 4,Cohort 5,Cohort 6,Cohort 7
F6 score $ \pm $ std,,,,,,,
SVM ,0.457 $ \pm $ 0.186,0.458 $ \pm $ 0.097,0.49 $ \pm $ 0.122,0.481 $ \pm $ 0.074,0.461 $ \pm $ 0.103,0.463 $ \pm $ 0.114,0.424 $ \pm $ 0.123
DT ,0.451 $ \pm $ 0.212,0.479 $ \pm $ 0.106,0.52 $ \pm $ 0.122,0.474 $ \pm $ 0.082,0.457 $ \pm $ 0.145,0.457 $ \pm $ 0.123,0.539 $ \pm $ 0.107
kNN ,0.509 $ \pm $ 0.271,0.465 $ \pm $ 0.123,0.512 $ \pm $ 0.193,0.536 $ \pm $ 0.115,0.431 $ \pm $ 0.148,0.527 $ \pm $ 0.041,0.467 $ \pm $ 0.102
GNB ,0.571 $ \pm $ 0.251,0.428 $ \pm $ 0.069,0.384 $ \pm $ 0.147,0.469 $ \pm $ 0.127,0.484 $ \pm $ 0.076,0.483 $ \pm $ 0.108,0.439 $ \pm $ 0.093
F7 score $ \pm $ std,,,,,,,
SVM ,0.549 $ \pm $ 0.182,0.547 $ \pm $ 0.08,0.355 $ \pm $ 0.191,0.511 $ \pm $ 0.07,0.382 $ \pm $ 0.143,0.601 $ \pm $ 0.079,0.512 $ \pm $ 0.17
DT ,0.554 $ \pm $ 0.219,0.524 $ \pm $ 0.13,0.423 $ \pm $ 0.066,0.494 $ \pm $ 0.064,0.337 $ \pm $ 0.14,0.52 $ \pm $ 0.116,0.474 $ \pm $ 0.069
kNN ,0.494 $ \pm $ 0.187,0.488 $ \pm $ 0.079,0.475 $ \pm $ 0.132,0.509 $ \pm $ 0.05,0.386 $ \pm $ 0.12,0.466 $ \pm $ 0.092,0.578 $ \pm $ 0.121
GNB ,0.446 $ \pm $ 0.251,0.486 $ \pm $ 0.073,0.279 $ \pm $ 0.109,0.505 $ \pm $ 0.113,0.427 $ \pm $ 0.158,0.474 $ \pm $ 0.126,0.452 $ \pm $ 0.112
F8 score $ \pm $ std,,,,,,,
SVM ,0.577 $ \pm $ 0.124,0.548 $ \pm $ 0.138,0.585 $ \pm $ 0.199,0.491 $ \pm $ 0.095,0.458 $ \pm $ 0.169,0.522 $ \pm $ 0.131,0.432 $ \pm $ 0.15
DT ,0.571 $ \pm $ 0.164,0.528 $ \pm $ 0.104,0.462 $ \pm $ 0.169,0.546 $ \pm $ 0.116,0.364 $ \pm $ 0.179,0.459 $ \pm $ 0.098,0.391 $ \pm $ 0.089
kNN ,0.48 $ \pm $ 0.217,0.543 $ \pm $ 0.174,0.5 $ \pm $ 0.145,0.471 $ \pm $ 0.071,0.533 $ \pm $ 0.159,0.47 $ \pm $ 0.085,0.451 $ \pm $ 0.109
GNB ,0.457 $ \pm $ 0.219,0.514 $ \pm $ 0.091,0.364 $ \pm $ 0.107,0.53 $ \pm $ 0.145,0.411 $ \pm $ 0.198,0.534 $ \pm $ 0.081,0.483 $ \pm $ 0.116
F9 score $ \pm $ std,,,,,,,
SVM ,0.486 $ \pm $ 0.238,0.52 $ \pm $ 0.103,0.413 $ \pm $ 0.104,0.493 $ \pm $ 0.167,0.378 $ \pm $ 0.181,0.399 $ \pm $ 0.105,0.497 $ \pm $ 0.059
DT ,0.557 $ \pm $ 0.162,0.5 $ \pm $ 0.08,0.446 $ \pm $ 0.098,0.529 $ \pm $ 0.087,0.395 $ \pm $ 0.14,0.421 $ \pm $ 0.064,0.518 $ \pm $ 0.131
kNN ,0.531 $ \pm $ 0.196,0.441 $ \pm $ 0.046,0.427 $ \pm $ 0.081,0.563 $ \pm $ 0.072,0.395 $ \pm $ 0.156,0.545 $ \pm $ 0.083,0.445 $ \pm $ 0.101
GNB ,0.469 $ \pm $ 0.204,0.442 $ \pm $ 0.087,0.313 $ \pm $ 0.141,0.484 $ \pm $ 0.089,0.479 $ \pm $ 0.189,0.425 $ \pm $ 0.088,0.5 $ \pm $ 0.115
